address_details;city;employee_size;id;keywords;municipality;name;path;searchwords;trade_id;trade_name;workplace_name
Tingshusgatan 1, Mellerud;Mellerud;5-9;1850839;"hotell
hotel
hotell med restaurang
hotell med restaurant";80;Wärs AB;companies/show/1850839;;1820;Hotellverksamhet med restaurangrörelse;
Kolungens Gård 2, Mellerud;Dals Rostock;10-19;1850843;;80;Industri- och Transportlackering i Mellerud;companies/show/1850843;;1377;Beläggning och överdragning av metall;
Nygården 1, Mellerud;Mellerud;0;1850844;;80;Nygårdens Energi;companies/show/1850844;;1507;Försörjning av värme och kyla;
Våtekärr 1, Mellerud;Mellerud;0;1850847;;80;Johan Aronsson Entreprenad;companies/show/1850847;;1543;Mark- och grundarbeten;
Bolstad Mellom Torp 3, Mellerud;Mellerud;0;1850848;;80;Klingberg, Glenn Henrik Torgny;companies/show/1850848;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Box 59, Mellerud;Mellerud;200-499;1850849;;80;Daloc AB;companies/show/1850849;;1369;Tillverkning av dörrar och fönster av metall;
Kornsjögatan 1, Mellerud;Mellerud;5-9;1850851;elektriker;80;Nya AB Melleruds Elektriska Affär;companies/show/1850851;;1546;Elinstallationer;
Järn Låssbyn 2, Mellerud;Mellerud;5-9;1850852;plåtslageri;80;Sven Norgrens Plåt AB;companies/show/1850852;;1563;Takarbeten av plåt;
Odengatan 40, Mellerud;Mellerud;5-9;1850853;"Rörmokare
rörmokeri";80;Rörtjänst i Mellerud AB;companies/show/1850853;;1548;Värme- och sanitetsarbeten;
Nygården 4, Mellerud;Mellerud;0;1850857;;80;Larsson, Sven Karl Gunnar;companies/show/1850857;;1083;Mjölkproduktion och uppfödning av nötkreatur och mjölkras;
Sapphultsgatan, Mellerud;Mellerud;5-9;1850860;;80;Fritzéns Maskin AB;companies/show/1850860;;1714;Specialiserad butikshandel med båtar;
Sunnanå Säter 8, Mellerud;Mellerud;0;1850861;;80;Däckarna Fastighet AB;companies/show/1850861;;1920;Uthyrning och förvaltning av egna eller arrenderade industrilokaler;
Kambol 7, Mellerud;Mellerud;1-4;1850862;bensinstation;80;Dalslands Hydraulik och Handel AB;companies/show/1850862;;1684;Specialiserad detaljhandel med drivmedel;
Lövåsvägen 29, Dals Rostock;Dals Rostock;0;1850865;;80;Musik Musik Blom Sören;companies/show/1850865;;2181;Reparation av övriga hushållsartiklar och personliga artiklar;
Blåklintsvägen 10, Dals Rostock;Dals Rostock;0;1850866;;80;Athena Data;companies/show/1850866;;2085;Diverse övrig utbildning;
Box 33, Mellerud;Mellerud;50-99;1850870;;80;Dalslands Sparbank;companies/show/1850870;;1881;Annan monetär finansförmedling;Huvudkontoret
Tussilagovägen 19, Dals Rostock;Dals Rostock;0;1850872;Åkeri;80;A.Larssons Enskilda Musikfirma;companies/show/1850872;;1775;Vägtransport, godstrafik;
Gokroksvägen 8, Åsensbruk;Åsensbruk;0;1850873;;80;Sundelius, Markus Finn;companies/show/1850873;;1107;Skogsförvaltning;
Heden Sjöstugan 3, Dalskog;Dalskog;0;1850875;;80;Svensson, Tage Viktor;companies/show/1850875;;1232;Sågning av trä;
Sävarebol 4, Mellerud;Mellerud;0;1850878;;80;F:a Lilla Sävarebols Lantbruk;companies/show/1850878;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Norra Kroken 5, Mellerud;Mellerud;1-4;1850879;;80;Hjärtungens Lantbruk AB;companies/show/1850879;;1090;Uppfödning av slaktsvin;
Siribyn 3, Mellerud;Mellerud;0;1850880;;80;Wikmark, Jan Peter;companies/show/1850880;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Finnetorp Davidsgården 1, Mellerud;Mellerud;0;1850883;;80;Magnusson, Egon Joacim;companies/show/1850883;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Mölnerud 3, Mellerud;Mellerud;0;1850884;"bilverkstad
bilreparation
bilreparationer
bilservice
";80;Jonas Larsson Entreprenad;companies/show/1850884;;1575;Allmän service och reparation av motorfordon utom motorcyklar;
Bränna Pylserud 1, Åsensbruk;Åsensbruk;0;1850889;;80;Kanyinda, Eva Sara;companies/show/1850889;;1098;Blandat jordbruk;
Ryrsvägen 29, Köpmannebro;Köpmannebro;0;1850890;Åkeri;80;Karlsson, Sven Gunnar;companies/show/1850890;;1775;Vägtransport, godstrafik;
Upperud 34, Åsensbruk;Åsensbruk;0;1850891;;80;Johansson, Per Axel;companies/show/1850891;;1107;Skogsförvaltning;
Sverkersbyn 4, Dals Rostock;Dals Rostock;0;1850892;;80;Bengt Bengtssons Lantbruk;companies/show/1850892;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Erikstad Bön 9, Mellerud;Mellerud;1-4;1850895;Åkeri;80;Raggens Åkeri AB;companies/show/1850895;;1775;Vägtransport, godstrafik;
Viktoriagatan 3, Mellerud;Mellerud;1-4;1850897;;80;Bostadsrättsföreningen Håverud, 1461;companies/show/1850897;;1922;Förvaltning i bostadsrättsföreningar;
Mellerudsgatan 5, Mellerud;Mellerud;0;1850899;"städning
städbolag
rengöring";80;Nellbro, Lena Kristina;companies/show/1850899;;2009;Lokalvård;
Lövåsvägen 17, Dals Rostock;Dals Rostock;;1850901;;80;Doc AB;companies/show/1850901;;1919;Uthyrning och förvaltning av egna eller arrenderade bostäder;
Bolstad Prästgård 3, Mellerud;Mellerud;0;1850907;;80;Skarin, Sven Lennart Morgan;companies/show/1850907;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Bronäs 2, Mellerud;Mellerud;0;1850908;;80;Kvalitetstid i Dalsland;companies/show/1850908;;1713;Specialiserad butikshandel med cyklar;
Rud Kroken 1, Mellerud;Mellerud;1-4;1850909;;80;Allbygg David Svensson AB;companies/show/1850909;;1653;Partihandel med VVS-varor;
Gunnarsnäs Berg, Mellerud;Mellerud;0;1850911;;80;Pettersson Olof För Berg 1:2;companies/show/1850911;;2198;;
Ekebro Gård 1, Mellerud;Mellerud;0;1850914;;80;Karlsson, Kent För Ekebro;companies/show/1850914;;1098;Blandat jordbruk;
Bergs Säteri, Mellerud;Mellerud;10-19;1850916;;80;Bergs Säteri Handelsbolag;companies/show/1850916;;1083;Mjölkproduktion och uppfödning av nötkreatur och mjölkras;
Aritsholmen 1, Mellerud;Mellerud;1-4;1850917;;80;Karlsson Bernt-Åke och Karlsson Kenneth;companies/show/1850917;;1098;Blandat jordbruk;
Ör Högen, Mellerud;Mellerud;0;1850918;;80;Pettersson Leif och Per-Arne;companies/show/1850918;;1098;Blandat jordbruk;
Vena 4058, Mellerud;Mellerud;0;1850919;;80;Hvena Kvarn;companies/show/1850919;;1597;Partihandel med spannmål, råtobak, utsäde och djurfoder;
Västergården, Mellerud;Mellerud;0;1850920;"Rörmokare
rörmokeri";80;Hansson Reimert För Västergården;companies/show/1850920;;1548;Värme- och sanitetsarbeten;
Bolstad Berg 1, Mellerud;Mellerud;0;1850921;;80;Bergs Lantbruk HB;companies/show/1850921;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Brunnsvägen 45 C, Dals Rostock;Dals Rostock;0;1850922;;80;Calluna;companies/show/1850922;;2134;Litterärt och konstnärligt skapande;
Grinstad Hagen Skuterud 1, Mellerud;Mellerud;0;1850923;;80;Karlsson, Lars Ove Bertil;companies/show/1850923;;1084;Uppfödning av andra nötkreatur och bufflar;
Rud Hultet 1, Mellerud;Mellerud;0;1850924;;80;"R&#39;w&#39;s Bildemontering";companies/show/1850924;;1921;Uthyrning och förvaltning av egna eller arrenderade, andra lokaler;
Kambol Stubberud 1, Mellerud;Mellerud;0;1850930;;80;Asp, Per Göran;companies/show/1850930;;1107;Skogsförvaltning;
Korsbols Gård 1, Mellerud;Mellerud;0;1850931;;80;Norenby, Rune Folke;companies/show/1850931;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Åsnebyn 3, Mellerud;Mellerud;0;1850933;;80;Larsson, Per Hans Kennet;companies/show/1850933;;1084;Uppfödning av andra nötkreatur och bufflar;
Tegen 2, Dalskog;Dalskog;0;1850935;;80;Karl Erik Jansson Skogsmaskiner;companies/show/1850935;;1110;Drivning;
Ör Högen 5, Mellerud;Mellerud;0;1850937;;80;Johansson-Kask, Sten Göran;companies/show/1850937;;1083;Mjölkproduktion och uppfödning av nötkreatur och mjölkras;
Trollungebyn Lilla Skulan 1, Dalskog;Dalskog;0;1850939;;80;Flodin, Tullan Ingegärd Birgitta;companies/show/1850939;;1098;Blandat jordbruk;
Katteberg 6, Mellerud;Mellerud;0;1850941;;80;Carlsson, Helle Pär Arthur;companies/show/1850941;;1242;Tillverkning av övriga byggnads- och inredningssnickerier;
Kårebyn Körsbärskullen 1, Mellerud;Mellerud;0;1850942;;80;Handarbetsboden Lilla Gränd;companies/show/1850942;;1740;Övrig specialiserad butikshandel;
Järn Bön 8, Mellerud;Mellerud;0;1850943;;80;Olsson, Ivar Stig-Uno;companies/show/1850943;;2198;;
Korshamnen 8, Mellerud;Mellerud;0;1850949;"bilverkstad
bilreparation
bilreparationer
bilservice
";80;S Lindström Mek;companies/show/1850949;;1575;Allmän service och reparation av motorfordon utom motorcyklar;
Stora Rud 10, Mellerud;Mellerud;0;1850950;;80;Johansson, Ivan Karl-Erik;companies/show/1850950;;1110;Drivning;
Långgatan 55, Mellerud;Mellerud;0;1850951;;80;Karlsson, Åke Gustav Lennart;companies/show/1850951;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Nordalsgatan 4, Mellerud;Mellerud;1-4;1850952;;80;Auktionsfirman Leif Landberg o Co HB;companies/show/1850952;;1744;Auktioner i butik;
Bergsgatan 28, Mellerud;Mellerud;1-4;1850954;massage;80;Sun Like AB;companies/show/1850954;;2190;Kroppsvård;
Järns Stom Ängebol 1, Mellerud;Mellerud;0;1850958;;80;Karlsson, Stig Evert;companies/show/1850958;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Box 73, Mellerud;Mellerud;1-4;1850959;;80;Tilia Redovisning AB;companies/show/1850959;;1933;Redovisning och bokföring;
Bringsrovägen 27, Dals Rostock;Dals Rostock;0;1850961;;80;"Lackar&#39;n På Dal";companies/show/1850961;;1098;Blandat jordbruk;
Kyrkogatan 5, Mellerud;Mellerud;20-49;1850968;;80;Dalsland Miljö- och Energiförbund;companies/show/1850968;;2038;Administration av program för kultur, miljö, boende m.m.;Dalslands Miljö- och Energikontor
Norra Kungsgatan 3, Mellerud;Mellerud;10000-;1850970;;80;Västra Götalandsregionen;companies/show/1850970;;2094;Primärvårdsmottagningar med läkare m.m.;Vårdcentral Mellerud
Norra Myckeläng 1, Mellerud;Mellerud;0;1850980;;80;Gunnarsson, Bror Albert Gunnar;companies/show/1850980;;1083;Mjölkproduktion och uppfödning av nötkreatur och mjölkras;
Kroppefjäll 2, Dals Rostock;Dals Rostock;5-9;1850981;;80;Kropphus AB;companies/show/1850981;;1919;Uthyrning och förvaltning av egna eller arrenderade bostäder;
Liane 1, Dalskog;Dalskog;0;1850982;;80;Lennart Karlsson;companies/show/1850982;;1098;Blandat jordbruk;
Ryr Hagarne 1, Köpmannebro;Köpmannebro;0;1850983;;80;Pantzar Öhman, Eva Brita Margareta;companies/show/1850983;;1107;Skogsförvaltning;
Bräckan 3, Mellerud;Mellerud;0;1850984;;80;Nilsson, Maud Carina;companies/show/1850984;;1098;Blandat jordbruk;
Hällan 5, Dals Rostock;Dals Rostock;0;1850985;;80;Johansson, Mats Göran;companies/show/1850985;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Erikstad Göbyn Hamnekärr 1, Mellerud;Mellerud;0;1850986;;80;Eriksson, Anna Catarina Ingegärd;companies/show/1850986;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Skållerud Backen 9, Åsensbruk;Åsensbruk;0;1850987;;80;Bergman, Anders Jonas;companies/show/1850987;;1232;Sågning av trä;
Gullesbyn 1, Mellerud;Mellerud;1-4;1850989;;80;Torstensson, Robert Ingvar Bertil;companies/show/1850989;;1083;Mjölkproduktion och uppfödning av nötkreatur och mjölkras;
Åsmule 7, Mellerud;Mellerud;0;1850990;;80;Andersson, Sture Allan Viktor;companies/show/1850990;;1946;Teknisk konsultverksamhet inom industriteknik;
Erikstad Kärr 1, Mellerud;Mellerud;0;1850991;;80;Stang, Niclas Karl Jonas;companies/show/1850991;;1098;Blandat jordbruk;
Dalbergså 7, Mellerud;Mellerud;0;1850992;;80;Fransson, Hans Bertil;companies/show/1850992;;1826;Campingplatsverksamhet;
Holms Torp 6, Mellerud;Mellerud;0;1850993;"Restaurant
Restaurang
Matställe
Bar";80;Melleruds Pizzeria o Gatukök;companies/show/1850993;;1829;Restaurangverksamhet;
Hantverkargatan 2, Mellerud;Mellerud;;1850994;;80;TZ Fastigheter AB;companies/show/1850994;;1652;Partihandel med järnhandelsvaror;
Rådane 3024, Mellerud;Mellerud;0;1850995;;80;Jte Lantbruk Handelsbolag;companies/show/1850995;;1098;Blandat jordbruk;
Anolfsbyn Adamserud 3, Mellerud;Mellerud;0;1850996;;80;Johansson, Ulf Eje Thomas;companies/show/1850996;;1935;Skatterådgivning;
Gundlebol 1  Ör, Mellerud;Mellerud;0;1850997;;80;"Red House Prod&#39; L Maxwell-Stewart &amp; M Hanke";companies/show/1850997;;2159;Övrig fritids- och nöjesverksamhet;
Kurt Hellbergs gata 4, Mellerud;Mellerud;5-9;1850998;"städning
städbolag
rengöring";80;"Lollo Willners Alltjänst &amp; Service AB";companies/show/1850998;;2009;Lokalvård;
Stränge Gård 1, Mellerud;Mellerud;0;1851000;;80;Ågerup, Anders Hjalmar;companies/show/1851000;;1098;Blandat jordbruk;
Viktoriagatan 3, Mellerud;Mellerud;1-4;1851005;revisor;80;Ulla-Britt Abrahamsson Revision AB;companies/show/1851005;;1934;Revision;
Långgatan 76, Mellerud;Mellerud;1000-1499;1851007;;80;Optimera Svenska AB;companies/show/1851007;;1692;Specialiserad butikshandel med virke och byggvaror;Mellerud
Kuseruds Gård, Mellerud;Mellerud;1-4;1851009;;80;Kuseruds Idrottsprodukter AB;companies/show/1851009;;1801;Magasinering och varulagring;
Landsvägsgatan 64, Mellerud;Mellerud;5-9;1851011;;80;Maskinuthyrning T.L. AB;companies/show/1851011;;1987;Uthyrning och leasing av bygg- och anläggningsmaskiner;
Allégatan 2 Lgh 1001, Mellerud;Mellerud;0;1851014;elektriker;80;Jansson, Urban Vilhelm;companies/show/1851014;;1546;Elinstallationer;
Storgatan 8, Mellerud;Mellerud;;1851018;;80;Systembolaget AB;companies/show/1851018;;1679;Specialiserad butikshandel med alkoholhaltiga och andra drycker;
Sörhagen 1, Mellerud;Mellerud;0;1851019;;80;Rudell, Karl Olof Inge;companies/show/1851019;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Byggmästargatan 9, Mellerud;Mellerud;10-19;1851020;;80;Boab Hjuldelar AB;companies/show/1851020;;1581;Detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar;
Simmerud 3, Mellerud;Mellerud;0;1851021;;80;Sågaiåker;companies/show/1851021;;1108;Skogsskötsel;
Södra Blikserud 3, Mellerud;Mellerud;0;1851022;;80;Sundin, Anders Carl-Gustav;companies/show/1851022;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Kolungens Gård 1, Mellerud;Mellerud;0;1851024;;80;"Dan Johannessons Jordbruk &amp; Entreprenad";companies/show/1851024;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Hällebäck Tomtebacken, Mellerud;Mellerud;1-4;1851025;Åkeri;80;S. Mossbergs Åkeri AB;companies/show/1851025;;1775;Vägtransport, godstrafik;
Nordkärr 4, Mellerud;Mellerud;5-9;1851026;;80;Bloms Varuhus AB;companies/show/1851026;;1718;Specialiserad butikshandel med herr-, dam- och barnkläder blandat;
Skållerud Eriksbyn 1, Mellerud;Mellerud;1-4;1851027;;80;Peter Eriksson Gräv AB;companies/show/1851027;;1098;Blandat jordbruk;
Ör Högen 6, Mellerud;Mellerud;0;1851028;;80;Pettersson, Leif Tore Gunnar;companies/show/1851028;;2198;;
Tågabo 1, Mellerud;Mellerud;0;1851029;;80;Mathiasson, Britt Marianne;companies/show/1851029;;2198;;
Simmerud 3, Mellerud;Mellerud;0;1851033;;80;"Hamrane Bak &amp; Kaffestuga";companies/show/1851033;;1677;Specialiserad butikshandel med bröd och konditorivaror;
Bråna 7, Mellerud;Mellerud;1-4;1851035;;80;Sören Johanssons Trapp- och Inredningssnickeri;companies/show/1851035;;1242;Tillverkning av övriga byggnads- och inredningssnickerier;
Skållerud Eriksbyn 27, Mellerud;Mellerud;0;1851039;;80;Berglund, Mats Ove Roland;companies/show/1851039;;1531;Anläggning av vägar och motorvägar;
Galoppgatan 4, Mellerud;Mellerud;0;1851040;;80;T U Energi Producter HB;companies/show/1851040;;2084;Personalutbildning;
Storgatan 35, Mellerud;Mellerud;10-19;1851042;;80;Abf Fyrbodal;companies/show/1851042;;2083;Studieförbundens och frivilligorganisationernas utbildning;
, Göteborg;Mellerud;10000-;1851044;;80;Polismyndigheten;companies/show/1851044;;2054;Polisverksamhet;Polismyndigheten - Östra Fyrbodal -
Skalsbyn 1, Mellerud;Mellerud;0;1851046;;80;DB Teknikmontage;companies/show/1851046;;1098;Blandat jordbruk;
Vena 1, Mellerud;Mellerud;0;1851051;;80;Nilsson, Ulf Jörgen;companies/show/1851051;;1098;Blandat jordbruk;
Gunvarbyn 8, Mellerud;Mellerud;0;1851053;;80;Söderlund, Jan Peter;companies/show/1851053;;1098;Blandat jordbruk;
Södra Rådane 4, Mellerud;Mellerud;0;1851054;;80;Jensen, Carina Vivianne;companies/show/1851054;;1098;Blandat jordbruk;
Hantverkargatan 1, Mellerud;Mellerud;5-9;1851056;"bilhandel
bilhandlare";80;Oscarssons Bilhandel i Mellerud AB;companies/show/1851056;;1570;Handel med personbilar och lätta motorfordon;
Ör Frestersbyn Lund 1, Mellerud;Mellerud;0;1851060;Åkeri;80;Karlsson, Roger Ingemar;companies/show/1851060;;1775;Vägtransport, godstrafik;
Torbjörbyn 1, Mellerud;Mellerud;0;1851062;;80;Malmsköld Teknik;companies/show/1851062;;1921;Uthyrning och förvaltning av egna eller arrenderade, andra lokaler;
Envägen 29, Åsensbruk;Åsensbruk;0;1851064;;80;Bostadsrättsföreningen Enen 1461;companies/show/1851064;;1922;Förvaltning i bostadsrättsföreningar;
Södra Bäckebol Karlslund 1, Dals Rostock;Dals Rostock;0;1851068;;80;Larsson, Bo Rune Christer;companies/show/1851068;;1098;Blandat jordbruk;
Storgatan 37, Mellerud;Mellerud;1-4;1851071;målare;80;"Melleruds Måleri &amp; Service AB";companies/show/1851071;;1558;Måleriarbeten;
Gunnarsnäs Berg 1, Mellerud;Mellerud;0;1851073;;80;Pettersson, Karl Olof;companies/show/1851073;;1098;Blandat jordbruk;
Upperud 2, Åsensbruk;Åsensbruk;10-19;1851078;;80;Dalslands Kanal AB;companies/show/1851078;;1806;Stödtjänster till sjötransport;Slusstationen
Nils Ericsons väg 1, Håverud;Håverud;10-19;1851080;;80;Dalslands Kanal AB;companies/show/1851080;;1538;Vattenbyggnad;Verkstaden
Kanalvägen 4, Håverud;Håverud;10-19;1851081;;80;Dalslands Kanal AB;companies/show/1851081;;1806;Stödtjänster till sjötransport;Slusstationen
Snäcke Kanal 1, Köpmannebro;Köpmannebro;10-19;1851083;;80;Dalslands Kanal AB;companies/show/1851083;;1806;Stödtjänster till sjötransport;Slusstation
Järn Bön 3, Mellerud;Mellerud;0;1851084;;80;Johansson, Kjell-Åke Lennart;companies/show/1851084;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Slussen 1, Köpmannebro;Köpmannebro;10-19;1851085;;80;Dalslands Kanal AB;companies/show/1851085;;1806;Stödtjänster till sjötransport;Slusstationen
Kambol 5, Mellerud;Mellerud;0;1851087;;80;Kki Trade Company Handelsbolag;companies/show/1851087;;1593;Provisionshandel med livsmedel, drycker och tobak;
Krokfors Kvarn 1, Mellerud;Mellerud;0;1851088;;80;Fredriksson, Jan-Olof Bertil;companies/show/1851088;;1103;Bearbetning av utsäde;
Norra Gunnersbyn 4, Dalskog;Dalskog;0;1851089;;80;"Dalskogs Häst &amp; Hundcenter";companies/show/1851089;;1096;Uppfödning av sällskapsdjur;
Bolstad Bodane 2, Mellerud;Mellerud;0;1851090;;80;Karlsson, Stig Anders Gunnar;companies/show/1851090;;1107;Skogsförvaltning;
Skolgatan 18, Mellerud;Mellerud;1-4;1851091;;80;Lindblom, Karl-Erik;companies/show/1851091;;1920;Uthyrning och förvaltning av egna eller arrenderade industrilokaler;
Grinstad Kleven 1, Mellerud;Mellerud;0;1851093;;80;Eriksson, Arne Reidar;companies/show/1851093;;1083;Mjölkproduktion och uppfödning av nötkreatur och mjölkras;
Södra Gunnersbyn 8, Dalskog;Dalskog;0;1851095;massage;80;"Ingela&#39;s Friskzon";companies/show/1851095;;2190;Kroppsvård;
Ör Frestersbyn 12, Mellerud;Mellerud;0;1851096;;80;Borduninstrument Alban Faust;companies/show/1851096;;1477;Tillverkning av musikinstrument;
Sällsäter 4, Dals Rostock;Dals Rostock;0;1851098;;80;Halvarsson, Harry Sören;companies/show/1851098;;1108;Skogsskötsel;
Erikstad Berg 5, Mellerud;Mellerud;0;1851099;;80;Sandberg, Knut Henrik;companies/show/1851099;;1232;Sågning av trä;
Björkgatan 6  Lgh 1001, Mellerud;Mellerud;0;1851106;;80;Gert-Fixare, Gert Lund;companies/show/1851106;;2014;Skötsel och underhåll av grönytor;
Erikstad Bön 9, Mellerud;Mellerud;0;1851107;massage;80;Karlsson, Susanne Eva Marina;companies/show/1851107;;2190;Kroppsvård;
Rådjursvägen 3, Mellerud;Mellerud;0;1851109;;80;Byggstålskonstruktioner, B.Norgren;companies/show/1851109;;1991;Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar;
Teåker Skottekullen 1, Bäckefors;Bäckefors;0;1851111;;80;Söderqvist, Leif Gösta Herbert;companies/show/1851111;;1098;Blandat jordbruk;
Järn Bräckan, Mellerud;Mellerud;;1851119;;80;Melleruds Hyres AB;companies/show/1851119;;1919;Uthyrning och förvaltning av egna eller arrenderade bostäder;
Liljevägen 6, Dals Rostock;Dals Rostock;;1851120;;80;Dalslands Bokföringsbyrå AB;companies/show/1851120;;1933;Redovisning och bokföring;
Svalungebyn 6, Mellerud;Mellerud;0;1851122;;80;Gustavsson, Runo Jan Erik;companies/show/1851122;;1098;Blandat jordbruk;
Håltane Storängen, Mellerud;Mellerud;0;1851126;;80;Mellerud Håtane 1:32;companies/show/1851126;;1921;Uthyrning och förvaltning av egna eller arrenderade, andra lokaler;
Gerdsrud 13, Mellerud;Mellerud;0;1851128;;80;Lidbergs Mark o Grävtjänst;companies/show/1851128;;1567;Övrig specialiserad bygg- och anläggningsverksamhet;
, Mellerud;Mellerud;0;1851131;;80;Bröderna Jansson;companies/show/1851131;;1098;Blandat jordbruk;
Lefors 2, Mellerud;Mellerud;0;1851132;;80;Tomas Sylvesson För Sylveson Vindbruk;companies/show/1851132;;1499;Generering av elektricitet;
Håkonebyn 1, Mellerud;Mellerud;0;1851134;;80;Johansson, Leif Göran;companies/show/1851134;;1107;Skogsförvaltning;
Bergs Säteri 1, Mellerud;Mellerud;0;1851136;;80;Olsson, Eva Margareta;companies/show/1851136;;1107;Skogsförvaltning;
Bräckan 3, Mellerud;Mellerud;0;1851137;;80;Larsson, Lars-Gunnar Ingemar;companies/show/1851137;;1098;Blandat jordbruk;
Rostocksgatan 32, Mellerud;Mellerud;0;1851138;;80;Nordqvist, Rolf Jörgen Hjalmar;companies/show/1851138;;1107;Skogsförvaltning;
Vena Kvarn 1, Mellerud;Mellerud;0;1851139;;80;Gullin, Carl Peter Christian;companies/show/1851139;;2198;;
Västerråda 1, Mellerud;Mellerud;0;1851140;;80;Lundgren, Carl Johan;companies/show/1851140;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Barrud 2, Mellerud;Mellerud;0;1851144;;80;Berglund, John Patrik;companies/show/1851144;;1068;Odling av övriga ett- och tvååriga växter;
Hjärtungens Gård 1, Mellerud;Mellerud;0;1851146;;80;Per-Olof Hilmér;companies/show/1851146;;1098;Blandat jordbruk;
Karihagen 1, Mellerud;Mellerud;1-4;1851147;;80;Krynes Entreprenad AB;companies/show/1851147;;1543;Mark- och grundarbeten;
Erikstad Mossebol, Mellerud;Mellerud;;1851148;;80;Mossebol Lantbruk AB;companies/show/1851148;;1098;Blandat jordbruk;
Täppan 3, Mellerud;Mellerud;0;1851149;;80;Karlsson, Dan Peder;companies/show/1851149;;1543;Mark- och grundarbeten;
Tågabo 1, Mellerud;Mellerud;0;1851150;;80;Mathiasson, Lars Christer Reimert;companies/show/1851150;;1083;Mjölkproduktion och uppfödning av nötkreatur och mjölkras;
Postgatan 24, Mellerud;Mellerud;1-4;1851155;elektriker;80;Elmontage På Dal AB;companies/show/1851155;;1546;Elinstallationer;
Torpane 1, Mellerud;Mellerud;0;1851157;;80;Karlsson, Karl Tommy;companies/show/1851157;;1120;Sötvattensfiske;
Örs Prästgård 2, Mellerud;Mellerud;0;1851158;;80;Nilsson, Gustaf Tomas Birgersson;companies/show/1851158;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Funnebo 1, Dalskog;Dalskog;0;1851160;;80;Löfqvist, Anders Jonas;companies/show/1851160;;1107;Skogsförvaltning;
Erikstad Mossebol 1, Mellerud;Mellerud;0;1851161;;80;Larsson, Sven-Olof Axel;companies/show/1851161;;1098;Blandat jordbruk;
Östra vägen 1  BV, Vänersborg;Mellerud;1-4;1851162;;80;"Redovisningsbyrån Nolin &amp; Persson AB";companies/show/1851162;;1933;Redovisning och bokföring;
Högsbyn Lindberget 1, Mellerud;Mellerud;0;1851165;"körskola
körkort";80;Lindberg Security And Safe Driving School;companies/show/1851165;;2079;Trafikskoleverksamhet;
Råskogen 1, Mellerud;Mellerud;0;1851168;;80;Karlsson, Lena Elisabet;companies/show/1851168;;1098;Blandat jordbruk;
Östevatten 10, Mellerud;Mellerud;0;1851169;;80;Pettersson, Börje Åke Göran;companies/show/1851169;;1083;Mjölkproduktion och uppfödning av nötkreatur och mjölkras;
Lefors 2, Mellerud;Mellerud;5-9;1851172;;80;Sylves Lantbruk HB;companies/show/1851172;;1089;Uppfödning av smågrisar;
Järn Frestersbyn 4, Mellerud;Mellerud;0;1851176;;80;Johansson, Sven-Erik Gilbert;companies/show/1851176;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Södra Kroken 2, Mellerud;Mellerud;0;1851177;;80;Pettersson, Karl Erik Niclas;companies/show/1851177;;1543;Mark- och grundarbeten;
Frejagatan 12, Mellerud;Mellerud;0;1851179;;80;Redovisningsbyrån Lars Nolin;companies/show/1851179;;1933;Redovisning och bokföring;
Mellerudsgatan 10, Mellerud;Mellerud;0;1851181;;80;"Martin Olsson&#39;s Entreprenad";companies/show/1851181;;1991;Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar;
Kabbo 5, Dalskog;Dalskog;0;1851182;;80;Melert, Lars Roger;companies/show/1851182;;1098;Blandat jordbruk;
Byggmästargatan 3, Mellerud;Mellerud;10-19;1851183;;80;Bertil Johanssons i Mellerud Byggnads AB;companies/show/1851183;;1528;Byggande av bostadshus och andra byggnader;
Orions gata 1, Mellerud;Mellerud;1-4;1851184;;80;Mabentho AB;companies/show/1851184;;1919;Uthyrning och förvaltning av egna eller arrenderade bostäder;
Box 5, Mellerud;Mellerud;1-4;1851188;fastighetsmäklare,mäklare;80;Melleruds-Mäklarna AB;companies/show/1851188;;1925;Fastighetsförmedling;
